iron_conc,silica_conc
66.91,1.31
67.06,1.11
66.97,1.27
66.75,1.36
66.63,1.34
66.85,1.15
65.76,2.76
65.89,2.65
66.68,1.7300000000000002
66.52,1.81
65.55,2.83
65.55,2.83
66.74,1.5
66.26,1.94
67.6,1.09
67.3,1.51
66.3,1.96
66.21,3.57
67.24,1.12
66.23,1.49
66.42,1.47
67.16,1.16
67.17,1.15
67.03,1.23
67.44,1.17
66.4,2.5
65.12,4.14
64.26,3.34
64.08,4.08
63.53,5.36
63.33,4.96
63.33,4.96
65.15,2.97
65.65,2.67
66.47,1.59
66.21,1.52
66.41,1.82
64.92,2.98
66.16,1.99
65.58,2.36
66.21,1.83
66.21,1.83
65.5,3.4200000000000004
64.56,3.86
64.56,3.86
62.95,4.97
62.83,5.06
64.72,3.51
64.29,3.62
63.62,4.92
65.87,2.13
65.16,2.77
65.87,2.03
65.92,2.12
65.9,2.4
65.78,2.43
65.15,2.99
62.95,5.04
63.83,4.71
64.11999999999999,4.226666666666667
64.4,3.76
64.1,3.55
64.29,3.0600000000000005
66.55,1.44
66.25,1.5900000000000003
66.92,1.52
66.17,1.96
67.11,1.9
67.11,1.9
66.29,1.09
67.22,1.0
66.97,1.0
66.24,1.04
67.04,1.25
66.42,2.46
66.44,2.67
66.61,1.95
65.85,2.4
66.5,2.03
65.94,1.7899999999999998
65.94,2.02
65.69,1.94
64.47,3.09
66.17,1.38
65.83,1.87
66.41,1.8600000000000003
66.23,1.27
65.49,1.9
65.62,2.48
65.15,3.01
64.98,2.9
63.56,4.17
64.59,3.88
63.99,4.3
64.07,4.08
64.03,3.5600000000000005
63.6,4.17
63.8,4.69
63.470000000000006,4.39
64.05,3.99
63.03,4.69
63.74000000000001,4.4
63.6,4.71
64.41,4.06
65.68,1.3
63.31999999999999,5.3
66.06,1.24
65.61,2.08
65.04,2.66
64.86,2.49
66.89,1.31
64.04,4.26
65.36,3.3000000000000003
65.64,3.11
64.84,3.28
64.63,3.77
65.0,3.4799999999999995
66.33,1.01
66.33,1.01
66.33,1.01
66.33,1.01
66.33,1.01
66.33,1.01
66.33,1.01
66.33,1.01
66.33,1.01
66.33,1.01
66.08,1.31
65.97,2.36
66.49,1.81
66.82,1.45
66.89,1.23
66.62,1.39
66.63,1.06
65.04,3.52
64.67,3.86
66.58,1.41
66.94,1.19
66.47,1.72
66.74,1.83
66.45,1.7300000000000002
66.62,1.41
66.61,1.7600000000000002
66.49,1.16
67.1,1.34
67.45,1.06
65.39,2.35
65.39,2.35
64.03,3.78
66.44,1.36
66.57,1.43
66.64,1.33
66.41,1.27
63.63,5.5
66.19,1.64
66.26,1.46
66.28,1.69
64.13,1.81
65.88,1.71
64.69,2.92
65.85,2.0
66.36,1.69
63.39,3.8
63.39,3.8
63.39,3.8
63.89999999999999,2.77
65.68,1.64
66.04,2.37
66.34,2.04
66.27,1.8
65.69,2.7
64.61,3.1
65.03,2.8
64.99,2.63
64.99,2.63
64.99,2.63
65.76,2.24
66.06,2.25
64.88,4.28
64.42,4.01
64.46,4.92
63.5,4.527683615819209
65.07,4.13
63.790000000000006,4.81
63.82,4.91
64.54,3.91
63.78,5.07
63.45,4.48
64.53,3.52
65.68,2.47
65.17,1.7800000000000002
66.49,1.91
66.34,2.26
66.92,1.02
67.44,1.06
67.44,1.06
67.44,1.06
66.9,1.44
65.91,1.6999999999999995
65.45,1.74
65.66,1.99
65.09,2.27
64.03,3.11
64.03,3.11
64.03,3.1099999999999994
64.03,3.11
64.03,3.1100000000000003
64.03,3.1099999999999994
64.03,3.11
64.03,3.11
64.03,3.1100000000000003
64.03,3.11
64.03,3.11
64.03,3.11
64.03,3.11
64.03,3.11
64.03,3.11
64.03,3.1100000000000003
64.03,3.11
64.03,3.11
64.03,3.11
64.03,3.11
64.03,3.11
64.03,3.1099999999999994
64.03,3.1099999999999994
64.03,3.1099999999999994
64.03,3.11
64.03,3.1100000000000003
64.03,3.11
64.03,3.1100000000000003
64.03,3.1099999999999994
64.03,3.1099999999999994
64.03,3.1100000000000003
64.03,3.11
64.03,3.11
64.03,3.1099999999999994
64.03,3.11
64.03,3.11
64.03,3.1099999999999994
64.03,3.1099999999999994
64.03,3.1100000000000003
64.396,2.9646666666666666
65.1205142857143,2.676742857142857
65.49,2.53
66.32,1.45
66.02,1.18
66.0,2.02
66.02,1.41
65.53,1.58
66.53,1.0
65.64,2.57
66.32,1.04
66.3,1.54
65.88,1.56
64.74,3.84
64.91,3.26
64.94,3.38
63.78,4.42
63.27,4.171899441340782
62.6,3.674632768361582
64.05393258426966,3.1785393258426966
65.5,2.93
64.86,3.96
66.04,2.36
66.07,1.96
64.05,3.86
65.04,2.88
64.92,4.15
63.38,5.4
63.04758426966292,5.182584269662922
62.3827374301676,4.7476536312849165
62.05,4.314606741573034
62.6,3.881508379888268
62.6,3.446888888888889
62.60000000000001,3.013370786516854
62.6,2.5794444444444444
62.6,2.144180790960452
62.6,1.7116949152542371
62.6,1.2773184357541898
66.53,1.06
66.09,1.26
66.56,1.21
65.76,1.28
66.29,1.5
65.86,1.65
65.81,1.74
66.06,1.8300000000000003
66.86,1.3
65.81,1.5
66.41,1.48
65.93,2.05
66.06,2.06
66.89,1.64
65.95,1.85
65.75,1.87
65.28,2.17
65.22,2.23
64.3,4.03
64.01,3.43
63.83,3.58
63.82000000000001,3.8
64.37,3.36
63.07000000000001,4.58
65.5,2.08
63.98,3.27
65.84,1.7
65.9,1.83
66.35,1.33
66.33,1.42
66.17,1.59
65.77,1.72
66.17,1.48
66.15,1.92
65.69,1.94
65.8,1.75
65.08,2.17
65.99,1.87
65.18,1.65
65.38,2.21
63.6,4.62
62.32000000000001,4.509438202247191
63.47,4.4
64.42,2.76
64.04,3.29
65.0,2.13
64.85,2.18
65.23,1.7100000000000002
65.15,2.31
64.89,2.45
65.3,1.4899999999999998
65.72,1.45
66.24,1.21
65.8,1.44
66.28,1.17
65.68,1.14
66.64,1.18
66.26,1.48
65.45,1.69
65.36,2.1
65.77,2.11
65.46,2.64
64.86,2.67
65.18,2.26
63.72,4.2
63.45,4.29
63.25,4.16
65.45,2.42
65.97,2.02
65.88,2.03
64.51,2.84
65.15,2.64
65.28,2.14
64.56,2.96
65.8,2.12
65.53,2.0
65.64,1.64
66.18,1.44
65.85,2.01
65.52,2.02
65.81,1.88
65.83,1.45
65.59,1.73
66.06,1.8400000000000003
65.16,1.95
65.15,2.07
64.45,3.04
64.95,2.65
65.67,2.31
65.26,2.52
65.5,2.36
63.94,4.06
63.37,4.26
63.95,3.26
64.20536312849163,4.14
64.46,2.59
64.76,2.0
62.87,5.31
63.00288888888889,5.305
63.26772727272728,5.3
63.5335593220339,4.6851977401129945
63.79697142857143,3.4798285714285715
63.93000000000001,2.87
64.5194350282486,2.411525423728813
65.1,1.96
64.17,3.11
64.23,2.57
65.23,2.24
64.73,3.65
64.92,2.74
65.95,1.6100000000000003
65.31,2.21
65.69,2.1
66.29,1.59
65.85,1.77
65.5,1.84
65.54,1.82
66.47,1.2
66.55,1.01
66.33,1.11
66.09,1.05
66.15,1.06
66.47,1.04
65.16,2.28
66.49,1.01
65.94,1.87
65.88,1.84
66.51,0.99
66.76,1.02
65.79,2.31
66.37,1.18
64.84,3.14
65.72,2.05
63.61999999999999,3.3100000000000005
65.91,1.39
65.26,2.23
65.56,2.36
65.79,1.85
65.61,1.64
66.14,1.31
66.39,1.08
66.67,1.08
66.5,1.05
67.05,0.95
65.25,2.9800000000000004
65.85,1.4
65.85,1.4
65.07,1.6399999999999997
64.84,3.1
66.1,1.39
66.15,1.7899999999999998
64.87,1.28
66.9,0.77
66.61,1.44
66.55,1.1
66.55,1.1
66.55,1.1
66.55,1.1
66.55,1.1
66.55,1.1
65.44,1.5700000000000005
65.97,1.5100000000000002
64.56,3.0
65.94,1.76
65.31,1.98
64.95,3.01
65.47,2.24
66.34,1.29
66.01,1.01
65.47,1.18
65.77,1.43
66.18,1.55
65.95,1.4699999999999998
66.01,1.41
65.62,1.89
64.66,2.9100000000000006
65.28,1.68
65.28,1.6799999999999995
65.28,1.68
65.28,1.68
65.28,1.68
65.28,1.68
65.28,1.68
65.28,1.68
65.28,1.6799999999999995
65.28,1.6799999999999995
65.28,1.6799999999999995
65.28,1.68
65.28,1.68
65.28,1.6799999999999995
65.28,1.6799999999999995
65.28,1.68
65.32502824858757,1.84728813559322
65.41486033519553,2.179553072625698
65.50494382022471,2.51247191011236
65.55,2.68
65.21994318181818,2.65
64.89,2.62
62.84,5.27
63.36,4.6450000000000005
63.88,4.02
64.48,3.87
64.71,2.49
65.02,2.22
63.72,4.04
65.9,1.5800000000000003
65.14,2.21
64.99,2.13
65.03,2.27
64.69,2.34
62.59,4.88
64.35,2.64
65.07,1.77
65.04,1.77
65.06,1.99
65.01,1.85
65.28,1.4499999999999995
65.05,1.63
65.5,1.5800000000000003
65.65,1.51
65.65,1.5699999999999998
64.86,2.29
64.62,2.59
65.68,1.52
65.38,2.63
64.1,3.3
64.16,3.53
64.07,3.6000000000000005
63.72999999999999,3.9700000000000006
64.89,2.78
65.72,1.94
64.82,3.32
64.54,3.0699999999999994
65.25,2.24
64.96,2.33
65.31,2.34
64.99,2.19
65.35,2.31
66.25,1.62
66.56,1.33
66.46,1.29
65.96,1.97
66.22,2.0
66.28,1.65
65.1,3.01
64.16,4.3
63.56056179775281,4.201516853932584
62.97,4.007709497206704
62.34,3.812777777777778
63.15899441340782,3.61731843575419
63.97,3.52
64.29,3.52
64.29,3.52
64.29,3.52
64.29,3.52
65.93,1.4
64.06,3.7
66.59,1.14
66.25,1.25
65.64,2.81
65.96,1.93
65.0,2.91
65.61,1.54
64.71,2.0
65.24,2.07
65.98,1.55
66.0,1.33
66.02,1.54
65.91,1.62
64.91,2.39
65.23,1.95
65.1,2.21
65.7,1.7199999999999998
64.22,3.45
65.12,2.17
64.86,2.8
65.33,1.78
64.99,2.18
65.66,1.62
65.31,2.07
64.83,2.26
65.1,2.67
65.42,2.45
65.57,1.94
65.08,2.77
64.37,3.15
63.63999999999999,2.61
63.93000000000001,3.8
64.97,2.25
64.34,3.66
65.11,2.46
65.07,2.47
65.52,1.89
65.76,1.17
64.89,2.17
65.77,1.3
64.01,1.31
63.970000000000006,2.9800000000000004
63.71,2.76
64.6,2.58
63.04,4.83
63.28,4.77
64.53,2.86
64.43,3.34
63.71,3.18
64.51,3.02
64.86,2.75
63.95,3.52
64.73,2.77
64.99,2.33
64.35,2.37
63.07000000000001,3.82
64.72,2.41
63.34,4.09
63.56,3.2700000000000005
63.49,3.43
63.36,4.12
64.84,2.41
63.85,3.3600000000000003
64.95,2.73
65.36,1.8600000000000003
65.45,1.58
65.0,1.61
65.39,1.45
65.31,1.28
65.37,2.48
65.72,1.48
65.87,1.97
65.1,2.3
65.57,1.68
64.6,2.58
64.91,2.38
65.38,1.5700000000000005
64.6,2.25
64.47,2.29
64.83,2.14
63.86000000000001,2.7
64.29,2.16
64.55,1.9
65.01,1.64
64.37,1.69
65.18,1.52
64.64,1.93
64.62,2.03
65.01,1.58
64.95,1.54
64.54,1.79
64.96,1.63
63.17,3.22
64.94,1.67
64.96,1.87
64.34,2.08
65.77,1.59
64.16,3.08
64.9,2.11
64.52,2.92
64.86,2.41
64.9,2.21
64.4,2.58
64.4,2.58
64.4,2.58
64.4,2.58
64.1,3.1899999999999995
65.24,2.11
64.76,2.25
64.84,2.1
65.1,1.92
64.81,1.87
64.89,1.55
65.01,1.66
65.02,1.42
65.02,1.42
63.14,3.65
63.13497175141243,3.65
63.12502824858757,3.6406214689265535
63.11497206703911,3.64
63.105,3.631833333333333
63.095027932960896,3.63
63.08500000000001,3.62308988764045
63.075,3.62
63.06502793296089,3.614413407821229
63.05497206703911,3.61
63.05,3.605625
63.032598870056496,3.6
62.9971186440678,3.596892655367232
62.96299435028249,3.59
62.92715909090909,3.588125
62.89279329608938,3.58
62.85731843575419,3.579441340782123
62.84,3.5699999999999994
64.93,3.5699999999999994
64.94,3.49
65.77,3.93
63.82,5.2
62.99,5.09
63.48,4.7
64.29,4.73
65.73,2.54
65.92,2.59
64.58,4.36
65.52,3.14
65.21,3.640000000000001
64.46,3.93
62.43,3.876571428571428
62.79457627118644,3.770564971751413
63.531123595505626,3.663539325842697
63.9,3.61
63.93999999999999,5.25
65.32,2.63
65.14,2.63
65.07,2.62
65.44,2.17
65.42,1.92
66.15,2.03
65.53,2.23
65.53,2.23
65.53,2.23
62.45,2.676388888888889
62.29,3.5670621468926558
62.84,4.44876404494382
63.49,4.9
64.56,3.26
64.51,3.41
64.18,3.85
62.3,4.15
64.05,4.45
63.5,4.17
62.68999999999999,4.94
62.31,4.591011235955056
63.28,4.24
64.93,2.83
64.57,2.6
64.16,3.73
66.38,2.23
65.13,3.64
65.46,3.38
64.04,3.73
64.09207865168538,3.692808988764045
64.19513966480447,3.618826815642458
64.29858757062146,3.544915254237288
64.40235632183908,3.4705172413793104
64.50477272727272,3.3971022727272726
64.60847457627119,3.323050847457627
64.7116091954023,3.24896551724138
64.81511363636363,3.1749431818181817
64.91814606741573,3.1011797752808987
65.0213407821229,3.0270391061452515
65.12488764044943,2.953202247191011
65.22804469273743,2.8791620111731846
65.3314606741573,2.8051123595505616
65.43491428571429,2.731142857142857
65.5379661016949,2.657175141242938
65.59,2.62
62.13,5.11
62.26254237288135,5.074350282485876
62.52743016759776,5.003128491620111
62.66,4.931966292134831
62.53410112359551,4.860842696629214
62.41,4.789887640449439
62.50916201117318,4.718882681564246
62.70664772727273,4.6477272727272725
62.903666666666666,4.576833333333334
63.10084745762712,4.505762711864406
63.2,4.47
62.93,5.4
62.83556818181818,5.325397727272727
62.74,5.25
62.83331460674157,5.225842696629214
63.02084269662921,5.177415730337079
63.20670391061452,5.12927374301676
63.39286516853933,5.0808426966292135
63.58011173184357,5.032346368715084
63.7664406779661,4.984237288135594
63.86,4.96
65.52,2.4
65.07,3.53
62.8,3.789887005649717
64.08,4.05
63.36999999999999,5.23
63.64,4.4
63.93000000000001,3.74
64.38,2.91
63.55,4.36
64.74,3.29
62.75,4.9
62.745027932960895,4.860335195530726
62.735028248587575,4.781016949152543
62.725,4.701666666666667
62.71494252873563,4.622241379310345
62.70502824858757,4.543163841807909
62.7,4.464022346368715
62.44,4.383965517241379
62.27,4.3053333333333335
62.41,4.226111111111111
62.3806432748538,4.146140350877193
62.32374301675978,4.067430167597765
62.26598870056497,3.98819209039548
62.20869318181818,3.908977272727273
62.18,3.829944134078212
64.83,3.79
65.25,3.09
66.56,1.27
65.86,1.4899999999999998
66.95,1.12
66.32,1.15
67.23,1.0
65.2,3.29
67.08,1.07
66.47,1.34
66.56,1.04
66.71,1.34
66.79,1.17
66.47,1.09
66.47,1.09
66.47,1.09
66.47,1.09
66.47,1.09
66.47,1.09
66.47,1.09
66.47,1.09
66.47,1.09
66.47,1.09
66.47,1.09
66.47,1.09
66.47,1.09
66.47,1.09
66.47,1.09
65.09,3.58
64.28,4.03
65.28,3.02
64.48,4.72
63.67,4.859497206703911
64.36,5.0
65.78,3.23
66.95,1.3
66.61,1.23
66.33,1.38
66.3,1.32
66.24,1.13
67.2,1.06
66.97,1.13
67.07,0.8800000000000001
66.69,1.11
67.0,1.06
65.98,1.1
66.56,1.23
66.86,1.18
65.46,3.2
64.67,3.71
65.74,2.12
65.6,2.12
64.88,2.85
64.9,2.69
66.3,1.8400000000000003
66.09,1.25
66.27,1.6399999999999997
66.48,1.24
66.29,1.56
66.32,2.08
65.14,2.96
65.3,2.14
65.37,2.47
65.6,2.07
66.17,1.92
65.48,2.33
63.58,4.6
63.79,4.42
63.290000000000006,4.76
62.79,5.1
63.61,3.34
64.36,3.03
64.02,4.28
63.75999999999999,3.83
65.38,2.18
66.62,1.17
63.98,3.3200000000000003
66.51,1.27
66.95,1.12
64.88,1.72
65.29,2.52
62.72,2.9724
62.537045454545456,3.87
62.35,4.7735754189944135
63.61,5.23
63.85,4.63
64.43,4.14
64.69,4.23
62.5,4.1658888888888885
63.0402824858757,4.038135593220339
63.58,3.910674157303371
63.47034090909092,3.782840909090909
63.36,3.6551977401129943
63.83,3.5270949720670397
62.3,3.399385474860335
62.83,3.272784090909091
62.25,3.1441111111111115
65.36,3.08
65.27,2.0
66.06,1.81
66.06,2.58
65.96,1.84
65.11,2.85
66.2,1.7
65.95,1.75
65.99,1.56
65.12,1.83
65.51,1.64
65.58,1.86
65.41,2.06
66.33,1.19
66.13,1.36
65.57,1.7599999999999998
64.86,2.79
65.26,2.52
65.01,2.74
64.17,3.01
64.6,3.33
64.5,2.28
65.46,2.41
65.66,1.69
66.04,1.43
66.49,1.09
66.64,1.15
66.38,1.26
66.06,1.35
65.38,2.7
65.89,1.7899999999999998
65.81,1.82
65.49,2.57
65.38,3.3600000000000003
65.3,2.93
64.86,2.66
65.03,2.47
65.4,1.89
64.78,3.01
64.43,2.76
64.94,2.24
64.78,2.55
63.84,3.77
64.33,4.02
63.7,4.03
65.17,2.58
65.56,2.16
65.25,2.22
65.88,1.87
65.49,1.99
65.65,1.83
64.73,2.76
65.22,2.72
65.21,2.54
65.84,2.0
65.67,2.06
65.6,1.99
65.04,2.890000000000001
65.23,2.04
65.7,2.19
66.17,1.77
66.12,1.46
66.38,1.29
65.7,2.2
65.79,2.38
66.35,2.13
65.37,2.34
64.84,3.34
64.74,3.42
64.28,3.96
63.24,4.82
64.14,3.83
64.98,2.9200000000000004
64.93,3.12
65.67,2.88
64.96,3.19
65.48,2.69
65.57,2.81
66.77,2.88
65.51,2.93
65.53,2.25
65.29,2.07
65.88,2.05
64.24,4.63
65.94,3.5
65.25,2.76
65.32,2.59
65.37,2.65
66.05,2.05
65.36,2.56
65.34,2.85
