iron_feed,silica_feed,starch_flow,amina_flow,pulp_flow,pulp_pH,pulp_density,airflow,level,iron_conc,silica_conc
55.2,16.98,323.2770977011494,578.7866781609196,398.75336781609195,10.113620689655173,1.7295977011494252,264.92967816091954,452.62436206896547,66.91,1.31
55.2,16.98,313.3256388888889,537.2196611111111,399.87182222222225,10.129944444444446,1.6675555555555555,264.4901111111111,450.7675611111111,67.06,1.11
55.2,16.98,347.94829444444446,591.9067444444444,398.76380555555556,10.048444444444444,1.733,264.6477222222222,452.0430333333333,66.97,1.27
55.2,16.98,334.14202222222224,593.1701055555556,399.86698333333334,9.918388888888888,1.7309444444444444,264.5733111111111,493.5785055555555,66.75,1.36
55.2,16.98,340.9351,619.7108055555556,399.61508888888886,9.745722222222222,1.765888888888889,264.5594333333333,551.2748055555555,66.63,1.34
55.2,16.98,340.5162222222222,621.8785388888889,399.74934444444443,9.892333333333333,1.7651666666666668,264.5247333333333,551.5137222222222,66.85,1.15
54.95,17.4,328.82660555555555,618.1863666666667,400.3451333333333,10.180388888888888,1.7651111111111113,264.6147111111111,553.0785833333333,65.76,2.76
54.95,17.4,345.9097277777778,595.6809833333334,400.12874444444446,10.180388888888888,1.7663888888888888,264.5429388888889,552.2236611111111,65.89,2.65
54.95,17.4,378.4487111111111,592.3679833333333,400.27846666666665,9.940222222222221,1.76,264.52981666666665,551.89845,66.68,1.73
54.95,17.4,342.13210555555554,582.9060944444444,399.77366666666666,10.104111111111111,1.7610555555555556,264.53471666666667,549.9367777777777,66.52,1.81
54.95,17.4,376.05168333333336,518.7408555555556,400.1364444444444,10.199166666666667,1.7748333333333335,264.6316277777778,550.4988944444444,65.55,2.83
54.95,17.4,449.79583333333335,559.8309,399.7618722222222,10.053277777777778,1.7765555555555557,264.5896611111111,548.7366499999999,65.55,2.83
54.95,17.4,470.7070111111111,543.6981777777778,400.4066833333333,10.312777777777777,1.7735555555555556,264.56308333333334,550.5097555555556,66.74,1.5
54.95,17.4,425.36002777777776,530.333161111111,399.6413444444444,10.339611111111111,1.7799999999999998,264.43416666666667,550.8628833333333,66.26,1.94
54.95,17.4,510.85533333333336,517.8396277777778,398.9583444444445,10.26238888888889,1.7826666666666666,264.5648388888889,551.2533500000001,67.11,1.09
55.99,17.16,510.85533333333336,523.7905,399.31058333333334,10.339611111111111,1.7805555555555554,264.5391222222222,551.8082555555555,67.11,1.51
55.99,17.16,510.85533333333336,556.6711166666666,399.6047555555555,10.339611111111111,1.766888888888889,264.5555333333333,552.2038666666666,66.3,1.96
55.99,17.16,510.85533333333336,525.4858944444444,400.5909444444444,10.274055555555556,1.7547222222222223,264.4726444444444,551.6518555555556,66.21,3.5700000000000003
55.99,17.16,442.1165111111111,469.4355,399.01682222222223,10.339611111111111,1.7516111111111112,264.54066111111115,551.0245611111111,67.11,1.12
55.99,17.16,475.7154722222222,443.8796722222222,399.57016111111113,10.095055555555556,1.7409444444444444,264.5325722222222,526.6090777777778,66.23,1.49
55.99,17.16,466.17560000000003,431.29985555555555,399.26112777777774,10.119,1.6936666666666667,264.5718944444444,459.13028333333335,66.42,1.4700000000000002
55.99,17.16,408.0108722222222,431.5534666666666,400.4209111111111,9.984,1.7289999999999999,264.4929833333333,500.8626,67.11,1.16
55.99,17.16,408.2803833333333,357.15485555555557,400.4882333333333,9.876333333333333,1.6274444444444445,264.54159444444446,532.2406666666667,67.11,1.15
55.99,17.16,498.5450055555555,315.27391666666665,399.81750555555556,10.0295,1.5787777777777778,264.55757222222223,531.3038166666666,67.03,1.23
60.66,8.25,510.85533333333336,366.9942722222222,400.5145722222223,10.278222222222222,1.7217222222222222,264.6317166666667,524.3609833333334,67.11,1.17
60.66,8.25,311.2406888888889,357.11292777777777,399.85771111111114,10.305055555555557,1.7524444444444445,264.4291777777778,542.5917888888889,66.4,2.5
60.66,8.25,319.1704972067039,331.5203463687151,399.0027430167597,10.036536312849162,1.734022346368715,264.4841787709497,541.7231284916202,65.12,4.14
60.66,8.25,305.7643277777778,319.39565,400.5220444444444,10.168833333333334,1.7505555555555556,264.5462944444444,539.5511111111111,64.26,3.3399999999999994
60.66,8.25,230.79703333333333,332.37506666666667,400.07107222222226,9.931611111111112,1.7569444444444444,264.53138333333334,545.3600833333334,64.08,4.08
60.66,8.25,259.56084444444446,335.1109055555556,400.6300166666667,9.570555555555556,1.6517777777777778,264.73046666666664,541.1117666666667,63.53,5.032444444444445
59.89,8.98,263.04086111111116,362.46411666666665,399.9439,9.963166666666666,1.645388888888889,264.5139666666667,556.7338666666667,63.33,4.96
59.89,8.98,269.15740782122907,477.9110502793296,400.57558100558657,9.978770949720671,1.743072625698324,264.4560726256983,539.4451843575418,63.33,4.96
59.89,8.98,489.7266222222222,532.2411888888889,400.3180388888889,9.526222222222222,1.696611111111111,264.48341111111114,562.9329888888889,65.15,2.97
59.89,8.98,252.34376111111112,559.5588833333334,399.55378333333334,9.347555555555555,1.7664444444444443,264.6497611111111,505.46745000000004,65.65,2.67
59.89,8.98,214.75417777777778,509.5865222222222,396.4155166666667,9.51511111111111,1.7508333333333332,264.57178333333337,529.0217666666667,66.47,1.5899999999999999
59.89,8.98,333.1075833333333,454.1982722222222,398.0709388888889,9.527666666666667,1.7469999999999999,264.47874444444443,573.7525777777778,66.21,1.52
59.89,8.98,323.4397055555555,509.7398944444444,401.50349444444447,9.586277777777777,1.7466666666666666,264.5518,578.9078333333333,66.41,1.82
59.89,8.98,354.6128166666667,394.12806666666665,402.5989666666667,9.637555555555556,1.7607222222222223,264.61694444444447,592.2323611111111,64.92,2.98
59.89,8.98,348.1705333333333,476.9721,399.5793722222222,9.773944444444444,1.7504444444444442,264.5702,589.2058,66.16,1.99
59.66,9.09,355.0533555555555,512.7573333333333,400.3732111111111,9.861555555555555,1.737611111111111,264.5344666666667,498.88225555555556,65.58,2.36
59.66,9.09,359.6674222222222,530.8459,398.5030444444444,10.00361111111111,1.743,264.5249333333333,458.80665,66.21,1.8300000000000003
59.66,9.09,330.3896,558.0600944444444,399.7347666666667,9.926166666666667,1.759888888888889,264.56980555555555,450.6551333333333,66.21,1.8300000000000003
59.66,9.09,336.5232625698324,568.8939553072626,398.6882346368715,9.99391061452514,1.7731843575418993,264.42775418994415,450.0916424581005,65.5,3.42
59.66,9.09,328.3715,570.8648777777778,400.14304999999996,9.935777777777778,1.7756666666666667,264.53089444444447,507.2983111111111,64.56,3.86
59.66,9.09,311.65225,554.1030722222222,400.55912222222224,9.897777777777778,1.7540555555555557,264.5355944444444,536.2035611111112,64.56,3.86
59.66,9.09,349.64354444444444,551.3229166666666,399.04406666666665,9.801888888888888,1.7551111111111113,264.5123888888889,459.1774333333333,62.95,4.97
59.66,9.09,313.6315166666667,542.3541888888889,399.39068888888886,9.89188888888889,1.7513888888888889,264.5930611111111,450.6594111111111,62.83,5.032444444444445
59.66,9.09,326.6795333333333,552.9906166666667,400.9191166666667,9.933333333333334,1.7495555555555558,264.4226722222222,450.56124444444447,64.72,3.51
58.84,11.46,350.9140782122905,546.4521117318436,400.15953072625695,9.919608938547485,1.7440223463687152,264.02064245810055,425.23325139664803,64.29,3.62
58.84,11.46,353.5704,554.1028833333334,399.6829611111111,10.10661111111111,1.7527222222222223,264.77835,441.07985,63.620000000000005,4.92
58.84,11.46,344.8194277777778,561.6618888888889,400.47102222222225,9.904722222222222,1.7646666666666666,264.54358888888885,456.1856333333334,65.87,2.13
58.84,11.46,326.65184444444446,558.8256,399.83428333333336,9.821222222222222,1.7603333333333333,264.6170777777778,452.60398333333336,65.16,2.77
58.84,11.46,309.7318388888889,548.8467888888889,398.9453166666667,9.708833333333335,1.7516666666666667,264.4800333333333,447.40158333333335,65.87,2.03
58.84,11.46,362.4469888888889,499.9709833333333,401.5697944444444,9.923944444444444,1.7416666666666667,264.6831722222222,449.51861111111117,65.92,2.12
58.82,11.46,369.11765555555553,520.7856944444445,399.24042777777777,9.766,1.7403333333333333,264.5620944444445,428.91352777777774,65.9,2.4
58.82,11.46,394.2468666666667,511.54949444444446,399.98929444444445,9.769722222222223,1.7483888888888888,264.5503277777778,457.4568111111111,65.78,2.43
58.82,11.46,389.83366666666666,496.86159444444445,401.2604777777778,9.776111111111112,1.7396666666666667,264.56592777777774,478.45684444444447,65.15,2.99
58.82,11.46,386.64108333333337,442.63969444444444,397.70796111111116,9.756555555555556,1.6850555555555555,264.5450722222222,475.80499444444445,62.95,5.032444444444445
58.82,11.46,352.7341333333333,308.9497611111111,396.4155166666667,9.916555555555556,1.7156111111111112,264.54318333333333,538.9621611111111,63.83,4.71
58.82,11.46,327.25225,439.42997222222226,399.2166833333333,9.782388888888889,1.7138333333333333,264.5439,458.30561666666665,64.11500000000001,4.234999999999999
58.82,11.46,375.2432166666666,512.5357111111111,402.5989666666667,9.790388888888888,1.7,264.50908888888887,490.5455944444444,64.4,3.76
58.82,11.46,413.18566666666663,524.2244444444444,399.4405833333333,10.055888888888889,1.7149444444444444,264.5697055555556,458.3611722222222,64.1,3.55
58.82,11.46,311.85170555555555,536.7365,399.6371666666667,9.741444444444445,1.7304444444444445,264.50721666666664,452.65299999999996,64.29,3.0599999999999996
59.05,11.2,339.51683333333335,544.2283666666667,399.67968888888885,9.745111111111111,1.744,264.5215333333333,471.5383444444445,66.55,1.44
59.05,11.2,395.2369111111111,549.9619833333334,401.11982222222224,9.935222222222222,1.751111111111111,264.50694444444446,472.84478333333334,66.25,1.5899999999999999
59.05,11.2,363.6592111111111,534.8689611111112,399.2253777777778,9.8255,1.7630555555555556,264.5340277777778,500.6238611111111,66.92,1.52
59.05,11.2,408.44745555555556,515.1387333333333,399.1144666666667,9.873722222222222,1.7662222222222224,264.70241111111113,505.6096444444445,66.17,1.96
59.05,11.2,422.5028888888889,313.7345888888889,401.75885555555556,9.9755,1.786388888888889,264.63974444444443,678.5546611111112,67.11,1.9
59.05,11.2,407.72104444444443,483.64188888888884,401.22069999999997,9.92588888888889,1.7675555555555558,264.5152611111111,550.3481277777778,67.11,1.9
59.05,11.2,367.0834777777778,540.9814388888889,400.1186333333334,9.973666666666666,1.77,264.5384888888889,550.4258055555556,66.29,1.09
59.05,11.2,445.2973202247191,535.7661123595506,398.99667415730335,10.092752808988765,1.7634831460674156,264.55076404494383,550.2320168539326,67.11,1.0
59.05,11.2,255.57854444444445,457.8097222222222,401.37723888888894,9.703555555555555,1.6115555555555554,264.4951888888889,592.2118888888889,66.97,1.0
57.35,12.27,321.63899444444445,372.3955722222222,400.19405,9.049777777777779,1.5787777777777778,264.5222944444444,498.8157722222223,66.24,1.04
57.35,12.27,350.7861,440.34841111111115,399.44685555555554,9.630055555555556,1.6822777777777778,264.5162222222222,505.9248222222222,67.04,1.25
57.35,12.27,383.8496611111111,470.00552777777773,400.01966111111113,9.912444444444445,1.7372222222222222,264.57655,540.3153611111111,66.42,2.46
57.35,12.27,400.4762944444444,455.41815555555553,400.2756722222222,10.202333333333334,1.7427222222222223,264.52352777777776,529.595911111111,66.44,2.67
57.35,12.27,402.0725666666667,431.4927111111111,399.54738888888886,9.883611111111112,1.738388888888889,264.61315,538.3017555555556,66.61,1.95
